,ID,Museum.specific.ID,Museum,Region,Site,Country.of.site,Specimen.collection.no.,Assemblage.layer.no.,Contextual.information,Preservation,Raw.material,Length..mm.,Width..mm.,Thickness..mm.,Site.1,Photograph.names,Edited.photo.name,Researcher.initials..photo.,Researcher.initials..measurements.,Supplementary.information,LT.notes,Assemblage_2,Min.age,Mid.age,Max.age,N,E
54,938,137,NMK,East,Prospect Farm,Kenya,1422/3202,GsJi 8,64,Complete,Fossilised wood,48.9,38.9,11.6,Prospect Farm,DSC_0354,E_point_167,SM,CM,,NA,GsJi 8,50,85,120,-0.59,36.18
55,940,139,NMK,East,Prospect Farm,Kenya,1420/3202,GsJi 8,64,Complete,Obsidian,43.6,33.2,12.3,Prospect Farm,DSC_0356,E_point_168,SM,CM,Weathered,NA,GsJi 8,50,85,120,-0.59,36.18
56,941,140,NMK,East,Prospect Farm,Kenya,3202,GsJi 8,63,Complete,Obsidian,37.1,16,7.9,Prospect Farm,DSC_0374,E_point_169,SM,CM,,NA,GsJi 8,50,85,120,-0.59,36.18
57,645,21,NME,East,Goda Buticha ,Ethiopia,?,B1d,Excavated ,Complete,Obsidian,23.9,14.5,5.2,Goda Buticha ,"Image_7020,7021,7022,7023,7024",E_point_17,BH,YT,"Full info in the bag [B1d, BC-300, obsidan point from seive, light brown layer, Z=125",NA,,NA,NA,NA,9.54,41.63
58,943,142,NMK,East,Prospect Farm,Kenya,3202,GsJi 8,63,Complete,Obsidian,27.4,15.9,5.1,Prospect Farm,DSC_0376,E_point_170,SM,CM,,NA,GsJi 8,50,85,120,-0.59,36.18
59,945,144,NMK,East,Prospect Farm,Kenya,3202,GsJi 8,63,Complete,Obsidian,37.2,22.5,6.2,Prospect Farm,DSC_0378,E_point_171,SM,CM,,NA,GsJi 8,50,85,120,-0.59,36.18
60,960,159,NMK,East,Prospect Farm,Kenya,3202,GsJi 8,64,Complete,Obsidian,68.9,23.1,6.4,Prospect Farm,DSC_0419,E_point_173,SC,CM,,NA,GsJi 8,50,85,120,-0.59,36.18
61,961,160,NMK,East,Prospect Farm,Kenya,3293/3202,GsJi 8,64,Complete,Obsidian,34.9,21.5,5.4,Prospect Farm,DSC_0420,E_point_174,SC,CM,,NA,GsJi 8,50,85,120,-0.59,36.18
62,962,161,NMK,East,Prospect Farm,Kenya,63/3202,GsJi 8,Surface,Complete,Obsidian,47.7,32.2,10.4,Prospect Farm,DSC_0421,E_point_175,SC,CM,Weathered,NA,GsJi 8,50,85,120,-0.59,36.18
63,963,162,NMK,East,Prospect Farm,Kenya,63/3202,GsJi 8,Surface,Complete,Obsidian,46.9,36.1,12.5,Prospect Farm,DSC_0422,E_point_176,SC,CM,Weathered,NA,GsJi 8,50,85,120,-0.59,36.18
64,964,163,NMK,East,Prospect Farm,Kenya,63/3202,GsJi 8,Surface,Complete,Obsidian,48.1,29.9,10.7,Prospect Farm,DSC_0423,E_point_177,SC,CM,Slightly weathered,NA,GsJi 8,50,85,120,-0.59,36.18
